ProphageID	Phylum	Class	Order	Family	Genus	Species	strain	NCBItaxonomyID
g.27474.pp.2	Bacteroidetes;	Bacteroidia;	Bacteroidales;	Bacteroidaceae;	Bacteroides;	Bacteroidesoleiciplenus	YIT12058	742727
g.27478.pp.3	Firmicutes;	Clostridia;	Clostridiales;	Lachnospiraceae;	Lachnoclostridium;	[Clostridium]clostridioforme	2149FAA	742735
g.27505.pp.2	Proteobacteria;	Betaproteobacteria;	Neisseriales;	Chromobacteriaceae;	Pseudogulbenkiania		NH8B	748280
g.27535.pp.5	Proteobacteria;	Gammaproteobacteria;	Enterobacterales;	Enterobacteriaceae;	Escherichia;	Escherichiacoli	G58-1	754078
g.2764.pp.3	Proteobacteria;	Alphaproteobacteria;	Rhizobiales;	Hyphomicrobiaceae;	Rhodomicrobium;	Rhodomicrobiumvannielii	ATCC17100	648757
g.27954.pp.1	Proteobacteria;	Gammaproteobacteria;	Enterobacterales;	Enterobacteriaceae;	Escherichia;	Escherichiacoli	B41	869694
g.27983.pp.1	Bacteroidetes;	Cytophagia;	Cytophagales;	Bernardetiaceae;	Bernardetia;	Bernardetialitoralis	DSM6794	880071
g.2820.pp.2	Bacteroidetes;	Bacteroidia;	Bacteroidales;	Bacteroidaceae;	Bacteroides;	Bacteroidesxylanisolvens	XB1A	657309
g.2827.pp.4	Firmicutes;	Clostridia;	Clostridiales;	Lachnospiraceae;	[Eubacterium]rectale		DSM17629	657318
g.2827.pp.9	Firmicutes;	Clostridia;	Clostridiales;	Lachnospiraceae;	[Eubacterium]rectale		DSM17629	657318
g.2830.pp.9	Firmicutes;	Clostridia;	Clostridiales;	Ruminococcaceae;	Faecalibacterium;	Faecalibacteriumprausnitzii	SL3/3	657322
g.2831.pp.4	Firmicutes;	Clostridia;	Clostridiales;	Ruminococcaceae;	Ruminococcus		SR1/5	657323
g.28311.pp.1	Firmicutes;	Negativicutes;	Veillonellales;	Veillonellaceae;	Megasphaera			907
g.2839.pp.2	Firmicutes;	Clostridia;	Clostridiales;	Lachnospiraceae			5163FAA	658089
g.2844.pp.4	Firmicutes;	Clostridia;	Clostridiales;	Lachnospiraceae			1456FAA	658655
g.28509.pp.2	Proteobacteria;	Gammaproteobacteria;	Pseudomonadales;	Pseudomonadaceae;	Pseudomonas		M1	95619
